                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.94686,                 0.7677,                 1.2925,                0.46493,                0.43781,                0.42118,                0.23077,                 1.5117,                 1.2112,                 1.7903,               0.000359,               0.000359,               0.000359
                     74,                0.92458,                0.75031,                 1.2751,                0.60576,                0.38328,                0.43783,                0.22946,                 1.5686,                 1.2244,                 1.8493,             0.00034663,             0.00034663,             0.00034663
                     75,                0.94479,                 0.7476,                 1.2744,                0.39591,                0.53648,                0.43195,                 0.2374,                  1.535,                 1.2612,                 1.7977,             0.00033425,             0.00033425,             0.00033425
                     76,                0.91962,                0.73036,                 1.2724,                0.47439,                0.55705,                0.47116,                0.23364,                 1.5268,                  1.213,                 1.7867,             0.00032188,             0.00032188,             0.00032188
                     77,                 0.9149,                0.72296,                 1.2606,                0.46919,                0.41916,                0.43327,                0.22864,                 1.5427,                  1.233,                 1.8363,              0.0003095,              0.0003095,              0.0003095
                     78,                0.91056,                0.72108,                 1.2714,                0.44455,                0.45511,                0.43393,                0.23699,                 1.5187,                 1.2089,                 1.8073,             0.00029713,             0.00029713,             0.00029713
                     79,                0.89055,                0.71055,                 1.2322,                0.50001,                0.46039,                0.43364,                0.23422,                 1.5193,                 1.1819,                 1.8008,             0.00028475,             0.00028475,             0.00028475
                     80,                0.88284,                0.70123,                 1.2407,                0.43614,                 0.5013,                0.44648,                0.24223,                  1.496,                 1.1914,                 1.7916,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.8694,                0.68103,                 1.2153,                0.49691,                0.47202,                0.45181,                0.24069,                 1.5259,                 1.1867,                 1.7933,                0.00026,                0.00026,                0.00026
                     82,                 0.8651,                0.67523,                 1.2268,                0.40699,                0.47251,                0.40891,                0.23399,                 1.5307,                 1.2025,                 1.8228,             0.00024762,             0.00024762,             0.00024762
                     83,                0.85253,                0.65837,                 1.2152,                0.46461,                0.40928,                 0.4155,                0.23003,                 1.5364,                 1.2109,                 1.8526,             0.00023525,             0.00023525,             0.00023525
                     84,                0.86659,                0.68277,                 1.2211,                0.50077,                0.40157,                0.42875,                0.22018,                 1.5608,                 1.2507,                 1.8621,             0.00022288,             0.00022288,             0.00022288
                     85,                  0.849,                0.66947,                 1.2123,                0.50463,                0.45171,                0.45536,                0.23449,                 1.5455,                 1.2201,                  1.843,              0.0002105,              0.0002105,              0.0002105
                     86,                0.83439,                0.65672,                 1.2058,                0.46689,                0.48604,                0.45636,                0.24627,                  1.508,                 1.2309,                 1.7972,             0.00019813,             0.00019813,             0.00019813
                     87,                0.83371,                0.65447,                 1.2008,                0.55426,                0.42952,                0.45666,                0.24462,                 1.5184,                 1.2025,                 1.8072,             0.00018575,             0.00018575,             0.00018575
                     88,                0.80306,                0.62363,                 1.1838,                0.54184,                0.45161,                0.45726,                0.24771,                 1.5283,                  1.166,                 1.8382,             0.00017338,             0.00017338,             0.00017338
                     89,                0.79848,                0.61048,                  1.177,                0.51804,                0.44959,                0.43644,                0.23782,                 1.4977,                 1.1791,                 1.8051,               0.000161,               0.000161,               0.000161
                     90,                0.80094,                0.61553,                 1.1931,                0.52062,                0.49341,                0.46817,                0.24809,                 1.5136,                 1.1334,                 1.8165,             0.00014862,             0.00014862,             0.00014862
